component_type,slug,cve_id,template_id,title,affected_range,fixed_version,fixed_version_key,severity,cvss_score,reference
wp_theme,scoreme,CVE-2016-10993,CVE-2016-10993,ScoreMe Theme - Cross-Site Scripting,,,,medium,5.4,https://www.vulnerability-lab.com/get_content.php?id=1808
wp_theme,mtheme-unus,CVE-2016-10972,CVE-2016-10972,Newspaper Theme 6.4–6.7.1 - Privilege Escalation,,,,critical,9.8,https://wpscan.com/vulnerability/5365ecca-93e2-4bfc-bd4a-6f61d7d75e96/
wp_theme,newspaper,CVE-2016-10972,CVE-2016-10972,Newspaper Theme 6.4–6.7.1 - Privilege Escalation,,,,critical,9.8,https://wpscan.com/vulnerability/5365ecca-93e2-4bfc-bd4a-6f61d7d75e96/
wp_plugin,simpel-reserveren,CVE-2016-1000149,CVE-2016-1000149,WordPress Simpel Reserveren <=3.5.2 - Cross-Site Scripting,< 3.5.2,3.5.2,00003.00005.00002,medium,6.1,https://wordpress.org/plugins/simpel-reserveren
wp_plugin,acf-frontend-form-element,CVE-2025-13342,CVE-2025-13342,DynamiApps Frontend Admin <= 3.28.20 - Unauthenticated Arbitrary Options Update,< 3.28.20,3.28.20,00003.00028.00020,critical,9.8,https://www.wordfence.com/threat-intel/vulnerabilities/id/613f2035-3061-429b-b218-83805287e4f3
wp_plugin,suretriggers,CVE-2025-3102,CVE-2025-3102,SureTriggers – All-in-One Automation Platform ≤ 1.0.78 - Authentication Bypass,,,,high,8.1,https://plugins.trac.wordpress.org/browser/suretriggers/trunk/src/Controllers/RestController.php#L59
wp_plugin,relevanssi,CVE-2025-4396,CVE-2025-4396,Relevanssi <= 4.24.4 (Free) - Unauthenticated SQL Injection,< 4.24.4,4.24.4,00004.00024.00004,high,7.5,https://www.wordfence.com/threat-intel/vulnerabilities/detail/relevanssi-4244-free-and-2274-premium-unauthenticated-sql-injection
wp_plugin,file-away,CVE-2025-2539,CVE-2025-2539,File Away <= 3.9.9.0.1 - Missing Authorization to Unauthenticated Arbitrary File Read,< 3.9.9.0,3.9.9.0,00003.00009.00009.00000,high,7.5,https://www.wordfence.com/threat-intel/vulnerabilities/wordpress-plugins/file-away/file-away-39901-missing-authorization-to-unauthenticated-arbitrary-file-read
wp_plugin,sf-booking,CVE-2025-5947,CVE-2025-5947,Service Finder Bookings - Authentication Bypass,,,,critical,9.8,https://patchstack.com/database/wordpress/plugin/sf-booking/vulnerability/wordpress-service-finder-bookings-plugin-6-0-authentication-bypass-via-user-switch-coo
wp_plugin,pie-register,CVE-2025-34077,CVE-2025-34077,WordPress Pie Register <= 3.7.1.4 - Authentication Bypass,< 3.7.1.4,3.7.1.4,00003.00007.00001.00004,critical,,https://github.com/MrjHaxcore/CVE-2025-34077
wp_plugin,ti-woocommerce-wishlist,CVE-2025-47577,CVE-2025-47577,TI WooCommerce Wishlist <= 2.9.2 - Arbitrary File Upload,< 2.9.2,2.9.2,00002.00009.00002,high,9.8,https://patchstack.com/articles/unpatched-critical-vulnerability-in-ti-woocommerce-wishlist-plugin/
wp_plugin,ajax-load-more,CVE-2025-59582,CVE-2025-59582,Ajax Load More < 7.6.1 - Unauthenticated Sensitive Information Exposure,< 7.6.1,7.6.1,00007.00006.00001,medium,,https://www.wordfence.com/threat-intel/vulnerabilities/wordpress-plugins/ajax-load-more/ajax-load-more-7602-unauthenticated-sensitive-information-exposure
wp_plugin,post-smtp,CVE-2025-11833,CVE-2025-11833,Post SMTP <= 3.6.0 - Email Log Disclosure,< 3.6.0,3.6.0,00003.00006.00000,critical,9.8,https://github.com/Kazgangap/cve-poc-garage/blob/main/2025/CVE-2025-11833.md
wp_plugin,wp-social,CVE-2025-6389,CVE-2025-6389,Sneeit WP Social WordPress Plugin - Unauthenticated RCE via call_user_func,,,,critical,9.8,https://nvd.nist.gov/vuln/detail/CVE-2025-6389
wp_plugin,psw-login-and-registration,CVE-2025-47646,CVE-2025-47646,PSW Front-end Login & Registration 1.13 - Weak Password Recovery,,,,critical,9.8,https://github.com/RootHarpy/CVE-2025-47646
wp_plugin,the-events-calendar,CVE-2025-9808,CVE-2025-9808,The Events Calendar <= 6.15.2 - Information Disclosure,< 6.15.2,6.15.2,00006.00015.00002,medium,,https://www.wiz.io/vulnerability-database/cve/cve-2025-9808
wp_plugin,suretriggers,CVE-2025-27007,CVE-2025-27007,OttoKit < 1.0.83 - SureTriggers allows Privilege Escalation,< 1.0.83,1.0.83,00001.00000.00083,critical,9.8,https://patchstack.com/articles/additional-critical-ottokit-formerly-suretriggers-vulnerability-patched?_s_id=cve
wp_plugin,wpdirectorykit,CVE-2025-13920,CVE-2025-13920,WP Directory Kit < 1.5.0 - Unauthenticated Email Exposure,< 1.5.0,1.5.0,00001.00005.00000,medium,6.2,https://www.wordfence.com/threat-intel/vulnerabilities/id/8905dcc7-d3c8-4ae8-818c-df3e6ed2ad9c
wp_plugin,1-click-migration,CVE-2025-32257,CVE-2025-32257,1 Click WordPress Migration <= 2.2 - Unauthenticated Information Disclsoure,< 2.2,2.2,00002.00002,medium,,https://wpscan.com/vulnerability/03211216-8cc9-49f9-83da-9fbc57554816/
wp_plugin,instawp-connect,CVE-2025-2636,CVE-2025-2636,InstaWP Connect < 0.1.0.86 - Local PHP File Inclusion,< 0.1.0.86,0.1.0.86,00000.00001.00000.00086,high,9.8,https://wpscan.com/vulnerability/d1b64725-d4ae-4d73-950a-b772a877022b/
wp_plugin,uncanny-automator,CVE-2025-2075,CVE-2025-2075,Uncanny Automator <= 6.3.0.2 - Missing Authorization to Authenticated (Subscriber+) Privilege Escalation,< 6.3.0.2,6.3.0.2,00006.00003.00000.00002,high,8.8,https://www.wordfence.com/blog/2025/04/50000-wordpress-sites-affected-by-privilege-escalation-vulnerability-in-uncanny-automator-wordpress-plugin/
